                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.76522,                 1.5105,                0.84923,                  1.069,                0.71171,                0.73038,                0.71619,                0.51768,                0.72178,                0.73489,                0.71521,                0.47795,                0.85549,                 1.5856,                 0.9675,                  1.187,               0.000911,               0.000911,               0.000911
                     25,                 0.7452,                  1.471,                0.82201,                  1.068,                0.79311,                0.75887,                0.82444,                0.61995,                0.80584,                0.75768,                 0.8226,                0.56435,                0.84479,                 1.5119,                0.87689,                 1.1547,              0.0008615,              0.0008615,              0.0008615
                     26,                0.76368,                 1.5172,                0.81522,                 1.0769,                0.77405,                0.74829,                0.78608,                0.57631,                0.74846,                0.72355,                0.76697,                0.52071,                0.83822,                 1.6531,                0.90262,                 1.1414,               0.000812,               0.000812,               0.000812
                     27,                0.77064,                 1.5286,                0.79605,                 1.0643,                0.79931,                0.77482,                0.82001,                0.60047,                0.81488,                0.77474,                 0.8131,                 0.5537,                0.84571,                 1.5338,                0.82602,                 1.1332,              0.0007625,              0.0007625,              0.0007625
                     28,                 0.7557,                 1.4449,                0.80553,                 1.0604,                  0.845,                0.78145,                0.84319,                0.62759,                 0.8032,                0.83576,                0.84862,                0.59071,                0.78299,                 1.3986,                0.79126,                 1.1195,               0.000713,               0.000713,               0.000713
                     29,                0.74483,                 1.4844,                0.77667,                 1.0597,                0.83842,                0.79693,                0.84232,                0.61802,                0.85346,                0.81499,                0.84586,                0.59625,                0.80565,                 1.4914,                0.79604,                 1.1584,              0.0006635,              0.0006635,              0.0006635
                     30,                0.72121,                 1.4328,                0.73431,                 1.0627,                0.82499,                0.77225,                0.83897,                0.63909,                0.77154,                  0.843,                0.84184,                0.59615,                0.76485,                 1.4437,                0.79567,                 1.1172,               0.000614,               0.000614,               0.000614
                     31,                0.69508,                  1.469,                0.75646,                 1.0811,                0.74208,                0.79863,                0.77188,                0.57428,                0.74457,                0.79591,                0.77455,                0.52104,                0.76567,                 1.5204,                0.86344,                 1.1226,              0.0005645,              0.0005645,              0.0005645
                     32,                0.69093,                 1.3572,                0.68866,                 1.0587,                0.82238,                0.81229,                0.85299,                0.63049,                0.80827,                0.80575,                0.84364,                0.60304,                0.77833,                   1.43,                0.81287,                   1.13,               0.000515,               0.000515,               0.000515
                     33,                0.67818,                 1.3373,                0.66455,                 1.0537,                0.83293,                 0.7827,                0.83913,                0.62749,                0.83641,                0.78527,                0.83852,                0.59772,                0.74046,                 1.3622,                0.77793,                  1.109,              0.0004655,              0.0004655,              0.0004655
                     34,                0.66627,                 1.2994,                0.65687,                 1.0413,                0.82577,                0.80546,                0.87432,                0.67175,                0.83281,                0.79906,                0.86629,                0.63532,                0.75715,                 1.3738,                0.75917,                 1.1082,               0.000416,               0.000416,               0.000416
                     35,                 0.6302,                 1.2316,                0.63134,                 1.0226,                0.82117,                0.76451,                0.84622,                0.63868,                0.81402,                0.77679,                0.83469,                0.60658,                  0.735,                 1.3717,                0.76159,                 1.1072,              0.0003665,              0.0003665,              0.0003665
                     36,                0.64528,                 1.2514,                0.63942,                 1.0306,                0.81009,                0.79522,                0.85109,                0.65754,                0.81116,                0.79863,                0.84103,                0.62296,                0.72327,                  1.327,                0.75064,                 1.0899,               0.000317,               0.000317,               0.000317
                     37,                0.60037,                 1.2263,                0.60565,                  0.995,                0.85117,                0.77474,                0.85812,                0.66077,                0.84742,                0.77133,                0.84743,                 0.6199,                0.72812,                 1.3311,                0.75846,                 1.0926,              0.0002675,              0.0002675,              0.0002675
                     38,                0.59039,                 1.1815,                0.59107,                0.99809,                0.86965,                0.75768,                0.86865,                0.67289,                0.81722,                0.80873,                 0.8568,                0.64351,                0.72442,                 1.2844,                0.72969,                 1.0958,               0.000218,               0.000218,               0.000218
                     39,                0.57621,                 1.1474,                 0.5507,                 0.9857,                0.84341,                0.80886,                0.87281,                 0.6819,                0.84341,                0.80886,                0.86719,                0.64706,                0.71949,                 1.2852,                0.71241,                 1.0877,              0.0001685,              0.0001685,              0.0001685
                     40,                0.59628,                 1.1532,                0.54847,                0.99478,                0.83287,                 0.7884,                 0.8641,                0.68497,                0.83287,                 0.7884,                0.86106,                0.64408,                0.68834,                 1.2829,                0.71736,                 1.0681,               0.000119,               0.000119,               0.000119
